#{"t_start": 1778387410.9525952, "env_id": "None"}
r,l,t
187.575397,316,410.601164
187.500124,297,411.652622
187.577202,279,412.047043
18.292034,61,412.143782
187.374913,313,412.593526
187.375824,308,413.055296
187.552022,312,413.488236
187.566281,288,413.914008
187.564949,317,414.968284
187.487839,333,415.464725
187.497461,313,415.923529
187.445086,317,416.381003
187.529118,335,416.867822
187.525265,311,417.315097
187.438033,315,417.776362
187.462586,288,418.887327
187.594367,310,419.365253
187.565235,289,419.777891
187.505012,289,420.19979
187.435077,296,420.624623
187.582238,292,421.035928
187.353244,320,421.488202
32.870812,89,422.228647
187.54346,308,422.692234
187.571131,277,423.110343
187.520372,325,423.569655
187.525788,317,424.027947
187.439169,302,424.478235
187.336478,343,424.960504
187.380804,324,426.064609
187.542577,313,426.503957
187.378117,289,426.934683
187.367802,311,427.401386
187.58045,299,427.825637
187.570866,307,428.26418
187.403883,324,428.737149
187.452125,300,429.823864
187.456988,294,430.23489
187.544563,312,430.663769
187.424409,312,431.137253
187.430879,293,431.550705
187.504253,300,431.985156
187.556907,320,433.054482
187.542504,302,433.536653
187.535773,293,433.96121
187.499038,272,434.360139
187.583805,298,434.826791
187.485642,310,435.29072
187.421205,292,435.763483
187.543613,315,436.831496
187.518595,305,437.254308
187.480144,310,437.716602
111.947775,173,437.970728
187.437973,294,438.393042
187.321516,302,438.834074
187.52109,291,439.259283
187.4967,288,440.306127
187.475959,282,440.739243
187.54448,319,441.20369
187.468297,285,441.602951
187.561848,333,442.08287
187.528618,315,442.518751
187.474401,302,442.966201
187.437883,288,443.964292
187.517604,287,444.389582
187.472222,319,444.870726
187.577295,287,445.289778
187.567463,280,445.691268
187.499314,286,446.083873
187.455326,301,446.506944
187.583013,319,447.604394
187.363264,291,448.035873
187.405795,302,448.469689
187.41974,297,448.897582
187.560045,295,449.322918
187.50599,295,449.733492
187.478553,290,450.174703
187.535665,315,451.21864
187.509287,317,451.712597
187.576879,327,452.179626
187.518568,304,452.608701
187.549874,307,453.060734
187.41507,295,453.476263
187.345603,294,453.896627
187.529318,331,455.000149
187.577612,303,455.480167
187.530234,316,455.927429
187.368591,303,456.352413
50.626375,102,456.505196
187.534345,296,456.926648
187.334343,301,457.37268
187.584016,300,458.431515
187.28806,322,458.91015
187.41769,315,459.357322
187.533457,324,459.828503
187.551185,312,460.300377
187.505807,306,460.748174
187.539514,296,461.171196
187.500358,314,462.262388
187.437859,321,462.715812
187.496369,326,463.209496
187.481689,306,463.656392
187.561072,321,464.104616
187.551711,314,464.560986
187.511559,329,465.660962
187.476185,315,466.106429
60.72423,126,466.28668
187.532033,305,466.716212
187.459704,303,467.15384
187.577756,323,467.643357
187.439322,310,468.101675
187.58617,328,469.227759
187.524185,341,469.729843
187.554386,339,470.211304
187.376044,330,470.718017
187.559411,313,471.239015
187.56665,353,471.742815
187.44488,324,472.779492
187.552406,325,473.263112
187.547853,358,473.781088
187.504292,329,474.245447
187.520466,308,474.682013
187.554024,292,475.08589
187.530183,351,475.582661
187.550838,339,476.716391
187.534579,287,477.104383
187.462622,317,477.544705
187.585743,330,478.03709
187.508004,309,478.470964
187.472518,286,478.878565
187.272591,283,479.91205
187.543359,291,480.327297
187.571835,310,480.770452
187.47007,314,481.271869
187.554788,287,481.686539
187.570196,302,482.108264
187.528989,310,482.551863
187.532343,310,483.637398
187.579976,335,484.10304
187.565158,307,484.551315
187.551659,284,484.960936
187.444367,312,485.418469
187.546035,309,485.878675
187.422306,326,486.37843
187.522413,288,487.408481
187.352048,298,487.83247
187.50398,321,488.291624
187.49746,312,488.785704
187.442147,302,489.223997
187.513344,287,489.641758
187.520639,292,490.684658
187.562063,297,491.130381
187.492884,292,491.610514
187.50332,296,492.034934
187.431169,273,492.424517
187.438568,308,492.855527
187.555165,330,493.334962
187.584693,290,494.385294
187.523255,276,494.796853
187.522176,304,495.235175
